metropolisName;producedTimestamp;totalRoutes;changeNumber;bigChangeNumber;alternatives;totalDuration;walkingDuration;cost
Berlin;20230116171214;127;5.7322836;3.03937;0.0;6055.063;1668.2914;0.00
Berlin;20230116171657;145;5.813793;3.2344828;0.0;5919.303;1561.069;0.00
Berlin;20230116173229;143;5.5874124;3.034965;0.0;6107.958;1553.4685;0.00
Berlin;20230116173454;142;5.9225354;3.225352;0.0;6240.4297;1633.8098;0.00
Berlin;20230116174134;131;5.9007635;2.8549619;0.0;7432.038;1564.0;0.00
Berlin;20230116174920;130;5.5538464;2.8153846;0.0;6071.769;1475.6692;0.00
Berlin;20230116175208;141;5.6666665;2.6666667;0.0;6252.291;1483.0851;0.00
Berlin;20230116175638;128;6.03125;2.734375;0.0;7050.492;1566.5078;0.00
Berlin;20230116175951;142;5.816901;3.0422535;0.0;6123.5635;1553.0704;0.00
Berlin;20230116180226;140;5.8142858;2.95;0.0;6813.9214;1543.7357;0.00
Berlin;20230121180343;141;5.7234044;2.9007092;0.0;6970.1704;1702.0071;0.00
Berlin;20230121180851;141;5.609929;2.893617;0.0;6202.695;1616.3475;0.00
Berlin;20230121181517;144;6.0555553;3.1458333;0.0;7552.8125;1590.9791;0.00
Berlin;20230121182122;134;5.597015;3.0149255;0.0;6662.6416;1606.6493;0.00
Berlin;20230121182504;123;5.5284553;2.9268293;0.0;7021.4067;1619.0244;0.00
Berlin;20230121183025;135;5.451852;2.9037037;0.0;5776.563;1602.3556;0.00
Berlin;20230121183618;138;5.7753625;2.8695652;0.0;6919.7393;1534.2971;0.00
Berlin;20230122095243;141;5.638298;2.9929078;0.0;6907.1206;1784.5603;0.00
Berlin;20230122095528;137;5.649635;3.0072992;0.0;6326.9487;1586.4233;0.00
Berlin;20230122095848;141;5.5248227;2.8794327;0.0;6004.362;1713.0638;0.00
Berlin;20230122100224;133;5.706767;2.8721805;0.0;6190.6465;1690.2406;0.00
Berlin;20230122100632;136;5.757353;2.985294;0.0;6283.294;1539.3529;0.00
