metropolisName;producedTimestamp;totalRoutes;changeNumber;bigChangeNumber;alternatives;totalDuration;walkingDuration;cost
London;20230116171202;143;6.3496504;5.2797203;0.0;4851.175;1219.1538;0.00
London;20230116171645;148;6.243243;5.175676;0.0;4632.196;1253.9459;0.00
London;20230116173218;131;6.3969464;5.29771;0.0;4871.916;1252.3588;0.00
London;20230116173444;143;5.993007;4.8671327;0.0;4776.636;1213.2238;0.00
London;20230116174122;146;6.0068493;4.9452057;0.0;4730.2944;1292.9727;0.00
London;20230116174908;147;6.2040815;5.163265;0.0;4702.109;1233.1224;0.00
London;20230116175154;148;6.5945945;5.4864864;0.0;4793.2163;1174.6487;0.00
London;20230116175625;148;6.2027025;5.168919;0.0;4698.2026;1346.0405;0.00
London;20230116175939;149;6.295302;5.2214766;0.0;5006.8857;1278.8657;0.00
London;20230116180215;149;6.4496646;5.308725;0.0;5012.772;1269.9127;0.00
London;20230121180331;150;6.286667;5.2;0.0;4816.74;1192.4066;0.00
London;20230121180838;142;6.2957745;5.197183;0.0;4763.6973;1231.0071;0.00
London;20230121181505;147;6.1496596;5.0816326;0.0;4474.8438;1137.449;0.00
London;20230121182108;134;6.455224;5.373134;0.0;4891.328;1182.8135;0.00
London;20230121182452;144;6.861111;5.798611;0.0;5035.271;1182.7084;0.00
London;20230121183012;146;6.410959;5.308219;0.0;4999.3423;1246.2466;0.00
London;20230121183605;149;6.47651;5.395973;0.0;4658.7383;1183.8523;0.00
London;20230122095232;138;6.3985505;5.311594;0.0;4894.094;1176.7246;0.00
London;20230122095517;148;6.5;5.3378377;0.0;5119.75;1261.0541;0.00
London;20230122095838;148;6.4324327;5.2905407;0.0;5010.2363;1174.5676;0.00
London;20230122100214;150;6.5866666;5.5066667;0.0;5256.0933;1238.9133;0.00
London;20230122100621;150;6.2266665;5.0933332;0.0;4775.7065;1198.34;0.00
