metropolisName;producedTimestamp;totalRoutes;changeNumber;bigChangeNumber;alternatives;totalDuration;walkingDuration;cost
Milan;20230116171137;123;5.3089433;3.894309;0.0;3524.2683;1165.7479;0.00
Milan;20230116171620;144;5.486111;4.1319447;0.0;3810.0693;1282.5486;0.00
Milan;20230116173156;143;5.300699;3.8881118;0.0;3547.7273;1194.3217;0.00
Milan;20230116173423;148;5.716216;4.2297297;0.0;3914.6555;1171.8716;0.00
Milan;20230116174059;117;5.4529915;4.068376;0.0;3609.171;1131.1538;0.00
Milan;20230116174844;145;5.4827585;4.027586;0.0;3816.7449;1279.1586;0.00
Milan;20230116175129;126;5.674603;4.373016;0.0;3749.8096;1169.0635;0.00
Milan;20230116175601;144;5.4722223;4.048611;0.0;3692.861;1240.125;0.00
Milan;20230116175916;143;5.251748;3.8881118;0.0;3460.6504;1131.1609;0.00
Milan;20230116180151;145;5.3448277;3.9448276;0.0;3623.3242;1188.531;0.00
Milan;20230121180302;136;5.382353;3.9191177;0.0;3776.522;1221.3604;0.00
Milan;20230121180812;136;5.3382354;3.9779413;0.0;3674.603;1135.5515;0.00
Milan;20230121181436;116;5.215517;3.8448277;0.0;3674.4656;1249.6724;0.00
Milan;20230121182040;142;5.147887;3.8028169;0.0;3548.2253;1182.9578;0.00
Milan;20230121182426;141;5.4822693;4.0851064;0.0;4150.9785;1294.2908;0.00
Milan;20230121182941;148;5.033784;3.7972972;0.0;4682.169;1342.6149;0.00
Milan;20230121183538;146;5.342466;3.9863014;0.0;3823.8357;1324.6233;0.00
Milan;20230122095207;144;5.3055553;3.875;0.0;3943.1458;1466.25;0.00
Milan;20230122095453;144;5.2847223;3.9722223;0.0;4302.6597;1494.625;0.00
Milan;20230122095815;138;5.0869565;3.7391305;0.0;3792.4348;1391.4855;0.00
Milan;20230122100150;143;5.4335666;3.895105;0.0;4088.4756;1330.021;0.00
Milan;20230122100556;145;5.365517;3.9586208;0.0;3987.1516;1407.3379;0.00
