metropolisName;producedTimestamp;totalRoutes;changeNumber;bigChangeNumber;alternatives;totalDuration;walkingDuration;cost
Paris;20230116171114;148;5.0135136;3.945946;0.0;2727.6487;925.0135;2.07
Paris;20230116171554;143;4.944056;3.8811188;0.0;2485.9092;884.1049;2.15
Paris;20230116173131;144;4.7291665;3.6597223;0.0;2440.0;876.19446;2.07
Paris;20230116173402;149;4.798658;3.6778524;0.0;2537.3691;946.4362;1.85
Paris;20230116174038;118;4.940678;3.8983052;0.0;2646.5762;1001.35596;1.98
Paris;20230116174821;148;4.7297297;3.662162;0.0;2676.5;969.6014;1.71
Paris;20230116175104;143;4.8321676;3.7762237;0.0;2558.4614;955.0769;1.90
Paris;20230116175536;149;4.7583895;3.704698;0.0;2491.6511;920.2886;2.03
Paris;20230116175851;146;4.6849313;3.671233;0.0;2490.0547;973.78766;1.98
Paris;20230116180129;144;4.888889;3.8194444;0.0;2570.5278;924.625;2.02
Paris;20230121180235;146;5.0136986;3.9520547;0.0;2686.2534;927.6027;2.16
Paris;20230121180750;144;4.8541665;3.8125;0.0;2528.7432;937.5208;2.12
Paris;20230121181409;148;4.6621623;3.6013513;0.0;2358.9392;856.4662;2.02
Paris;20230121182011;147;4.6938777;3.6122448;0.0;2639.925;901.0136;2.16
Paris;20230121182358;146;5.0068493;3.8767123;0.0;2697.0823;943.6233;2.00
Paris;20230121182914;143;4.972028;3.874126;0.0;2819.3428;960.7692;2.15
Paris;20230121183509;144;4.8125;3.75;0.0;2639.9097;930.2083;2.02
Paris;20230122095147;144;4.5972223;3.5277777;0.0;2595.639;873.3958;1.89
Paris;20230122095425;148;4.641892;3.6216216;0.0;2581.6824;954.4595;2.07
Paris;20230122095752;148;4.6959457;3.6351352;0.0;2623.4595;963.0405;2.23
Paris;20230122100128;149;4.771812;3.704698;0.0;2602.1006;906.5973;1.98
Paris;20230122100533;142;4.5985913;3.4788733;0.0;2534.7747;929.2817;1.93
