metropolisName;producedTimestamp;totalRoutes;changeNumber;bigChangeNumber;alternatives;totalDuration;walkingDuration;cost
Rome;20230116171127;125;6.936;5.536;0.0;8270.712;1826.152;0.00
Rome;20230116171609;118;6.898305;5.661017;0.0;7345.9575;1969.5763;0.00
Rome;20230116173143;115;6.669565;5.3130436;0.0;7452.7217;1754.3391;0.00
Rome;20230116173414;128;6.9140625;5.75;0.0;7438.0703;1718.2734;0.00
Rome;20230116174050;134;7.2462687;5.8432837;0.0;7092.8135;1663.5074;0.02
Rome;20230116174834;124;6.959677;5.677419;0.0;7604.0566;1634.2661;0.00
Rome;20230116175120;124;6.790323;5.580645;0.0;7049.589;1739.1129;0.00
Rome;20230116175550;123;6.772358;5.5284553;0.0;7193.1465;1744.5935;0.00
Rome;20230116175905;119;6.7815127;5.512605;0.0;7016.6973;1765.8152;0.00
Rome;20230116180141;120;6.7166667;5.35;0.0;6905.842;1773.0167;0.00
Rome;20230121180250;126;6.5079365;5.2936506;0.0;6122.849;1514.9524;0.00
Rome;20230121180800;98;6.765306;5.4489794;0.0;6967.469;1676.6735;0.00
Rome;20230121181426;128;7.1953125;5.8984375;0.0;7722.422;1714.6875;0.00
Rome;20230121182026;120;7.45;6.175;0.0;8341.217;1719.2333;0.00
Rome;20230121182412;113;7.221239;5.8495574;0.0;8388.566;1832.177;0.00
Rome;20230121182928;107;7.196262;5.962617;0.0;7528.1123;1635.9719;0.00
Rome;20230121183524;133;6.894737;5.62406;0.0;7766.5938;1861.7294;0.00
Rome;20230122095158;115;6.3565216;5.0608697;0.0;7049.2085;1715.687;0.00
Rome;20230122095442;140;6.6857142;5.4428573;0.0;6578.307;1536.7786;0.00
Rome;20230122095804;125;7.04;5.792;0.0;7014.432;1661.848;0.00
Rome;20230122100140;122;7.2459016;5.967213;0.0;7336.098;1815.5574;0.00
Rome;20230122100546;122;6.877049;5.672131;0.0;7061.5327;1696.2131;0.00
