metropolisName;producedTimestamp;totalRoutes;changeNumber;bigChangeNumber;alternatives;totalDuration;walkingDuration;cost
Turin;20230116171146;115;5.0086956;3.652174;0.0;4100.009;1327.4174;1.53
Turin;20230116171632;145;5.1310344;3.7103448;0.0;4401.931;1486.0276;1.28
Turin;20230116173205;122;5.0;3.737705;0.0;4173.2295;1279.1721;1.44
Turin;20230116173432;123;5.1707315;3.804878;0.0;4431.5366;1439.9025;1.47
Turin;20230116174109;146;4.89726;3.6164384;0.0;3993.6506;1417.5411;1.40
Turin;20230116174855;135;5.0962963;3.7037036;0.0;4390.711;1349.3334;1.52
Turin;20230116175141;125;4.712;3.408;0.0;3757.64;1326.408;1.46
Turin;20230116175612;132;4.909091;3.6136363;0.0;4356.712;1427.7954;1.61
Turin;20230116175926;119;4.9411764;3.6302521;0.0;4206.5884;1420.1848;1.46
Turin;20230116180201;144;4.826389;3.5138888;0.0;4049.4236;1331.4028;1.45
Turin;20230121180316;127;4.866142;3.456693;0.0;4050.9607;1279.7638;1.60
Turin;20230121180824;146;5.191781;3.8493152;0.0;4593.7397;1543.9315;1.38
Turin;20230121181450;142;5.2253523;3.7676055;0.0;4302.5776;1424.0493;1.48
Turin;20230121182054;140;5.1214285;3.7142856;0.0;4423.1284;1521.0786;1.43
Turin;20230121182438;144;5.0277777;3.6805556;0.0;4336.5835;1315.3541;1.58
Turin;20230121182954;139;4.9064746;3.5827339;0.0;4308.4966;1459.3165;1.43
Turin;20230121183550;146;5.0136986;3.630137;0.0;4193.0137;1387.1644;1.63
Turin;20230122095219;139;4.9280577;3.5971222;0.0;4423.3096;1422.8705;1.72
Turin;20230122095504;134;4.544776;3.2537313;0.0;3751.7314;1303.9329;1.54
Turin;20230122095826;144;5.1458335;3.8402777;0.0;4458.8403;1353.632;1.52
Turin;20230122100201;142;4.9929576;3.633803;0.0;4322.7607;1283.1338;1.65
Turin;20230122100608;146;4.917808;3.5753424;0.0;4360.5273;1414.3082;1.56
